Hotel_Name,Hotel_Rating,City,Hotel_Price,Place_ID,Photo_Reference
Royal Palms Villas with Private Pool,4.0,mumbai,20536,ChIJael3upi35zsR4DBjqPt-y5g,AdDdOWqjbIZXFMIiwF-A4SSej8naNsuOlcCIhDrmSqT_HYK9c7vKyXRDfEhMIcfIX76TwCahlw9eCB2LO6dN_Uw7b18McWMRkWCaGea1zTJ8Lw0oU_PPMHuu3-wZxyZ0yfQiW-MXHATvmwOgp0ImHDO560Ic4SNlHL8MtHp7e0NSQ3l_71wb
The Leela Mumbai - Resort Style Business Hotel,4.5,mumbai,11210,ChIJcVLrwD_I5zsRaaUtSlIRt1I,AdDdOWqm4c-iJxsKpngpz3AtXCsMHF1Rjti_RLi0zoqrHs6tDTaAVOYYvHRb5RRk3gdQ27D8oZBlp8jF9bFQwOOi969QZbR4252RzwJ8jBns4rTmLgPT16jXnWs4GfZqlokkRY4oOCaAYRc2DtCxVRCUzXXZSK257cIJg4ZGOG0UZ-HnKLI3
Hotel Nest N Rest - Mumbai,4.4,mumbai,1116,ChIJuZw-9E3J5zsRBT4mXr7MPj0,AdDdOWoVtSIZXG4Ra1PPr3dAuzNI4NbiA2C9IwfOjZI7Z4Od7DECuA86tUTbZ57M-4eJplJw_wyIt8dItU5mdQplE6ONXIHuwJKE77ah0rKdE_ffMJ6_hydY2-iRZ4ccyahyq1qoj7HZvNED4QmpXNeZv4Aw-l-CnWRzIca9b7uqKwRaF4iP
Novotel Mumbai Juhu Beach,4.3,mumbai,11785,ChIJeW5hJJjJ5zsRRst7UJbbAQo,AdDdOWp54N8pd3IYvE7rGzyI19wrqnGXG9EC8WlIiwy1cVyylryq_WTRQyIlQj4-EE3bd0aklsfeXiO1aAhsqdaewgNqceWgUCRYoWFwdMEstveSVZgzqSZ-Fvr1SUql-nTqJHTE5KsyBxFwddgxlx1dSispeapYEQ2FEwZ3KsN-zM2NGbpH
Airport inn residency,3.7,mumbai,1109,ChIJf4m-kzbI5zsRd6QfNWED6YE,AdDdOWrRQfwjMjCMnyJBm4dTQspjWZTMsxWHNfdMVDoqEax_JpUeJJlnsRoSJD2GolPd9uwq9ZhJDzR8yvQhfpq522KpNe1IqS9_71FK6fpdyI8QYcHS7bwqaVkj1jf7GCIsytWoFGGbGMpYA5iL6xjXjMkNx4hH35fcU1an4vUInVGrggpe
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,11103,ChIJ66xaCzrI5zsRIKrLqvww33Y,AdDdOWrmZPNnQOIz2CBtVLjMnTj8GqcmCBlc9FVsn1Dv2CofM8JqsXdr2rl-X8D6eh2BE0bofeJLL2_7_GiyvJ8ATLx7B_dE7CI0pJKo5GKaB47HFuxNxgNG0Tqn8tNJPIbiqCGRoonuuXYGiNnnIkdwxbKQ8GMJwh7gwsCAUpqkOb1G7qOE
JW Marriott Mumbai Sahar,4.6,mumbai,12963,ChIJmwZU_FvI5zsRM8YNWRMN3Qo,AdDdOWr83rw1viliFaxb5RPmdvS0b4OCaNHMbo5Civr16axZwRVxMsLWkCXgAka8Ve_Ix6lTEbcucD9s9oq7xRyHix6MldE4_PuLyK6I8VMygVK1Wtj7jhO-JYqW1XlcRXWa3pV_QTVXy0sZK53xyS3c0o0upZEN8ZhtfbY2E3HFd-o3JNNq
The Westin Mumbai Garden City,4.5,mumbai,12963,ChIJU-VcVKi35zsRWL5BYCqnsto,AdDdOWrUJKU9-uCj8w432Yhtsa1gcD-DBXZ_orOt9ugEjavObE14PcL40WAIELtKZCkGEWmRxRLb2b-w9HljCVgn2zq8cstNQwK4G-OdGFXeZdVuD3wWIk2fvAcNXxsbEl6TR-KO0K2IgEbr9YtyR6TNgLTuLM3c9ZVoC1E51RPzIXM9VS8V
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,10619,ChIJFciORWTI5zsRr4DUFDsqvQA,AdDdOWowXTtzPtHUHYd9x6FtQZbdx-Pb3XzarnStwUSBjV0c1kZjpRGwM0TXOuQaWGz6XLOS8ePPqtzetjTaeiLqgudvAr5y182SSYhrNcjGJ7Xsxn_aGlYnE4kFoAcylAbUTp-qCsrtjxzQ1EMu4PPnCzQaE8nAZPXPSKPFIL15nVoHaP6v
Novotel Mumbai Juhu Beach,4.3,mumbai,11800,ChIJeW5hJJjJ5zsRRst7UJbbAQo,AdDdOWrTYY9mmDQT0wic3qJxWX709HUg-yB7dwn9zeLgeVFaHsqD2eu6Z7k79PjB9E5xgeTM7fcGOMTp3jVYPepjCRQshlTiW4i1gp_xkMTm6cKI5aafp7_R6HLo7bHI2SW2e_2OmI7j1YPp5HxuRXgEKPWZjcwHDDUk5XLy4HddkVMKM5bn
