Name,Location,Locality,City,Rating,Cost
Maini's Green Leaf,"Unity One Mall,Shahdara, East Delhi", East Delhi,Delhi,4.3,1000
Elan,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,4.3,4000
MKT,"The Chanakya,Chanakyapuri, South Delhi", South Delhi,Delhi,4.5,1900
Sandoz,"Karol Bagh, Central Delhi", Central Delhi,Delhi,3.1,1000
Guppy,"Lodhi Colony, South Delhi", South Delhi,Delhi,4.3,2500
AlKauser,"Chanakyapuri, South Delhi", South Delhi,Delhi,4.0,800
G2 Cafe,"Anand Vihar, East Delhi", East Delhi,Delhi,4.2,1600
Breakin' Brew,"Anand Vihar, East Delhi", East Delhi,Delhi,4.6,900
Kake Da Hotel,"Rajinder Nagar, West Delhi", West Delhi,Delhi,3.6,1000
Bake Club,"East Patel Nagar, West Delhi", West Delhi,Delhi,5.0,500
The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.2,2000
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,4.3,2000
Sana-Di-Ge,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,4.4,2200
Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,4.3,1700
Perbacco,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,4.0,3000
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,4.3,1500
Elma's Brasserie,"Mehar Chand Market,Lodhi Colony, South Delhi", South Delhi,Delhi,4.4,1200
Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.2,1500
Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.9,1200
Pinjore,"East Patel Nagar, West Delhi", West Delhi,Delhi,3.6,1000
The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,4.3,2100
Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,3.9,1700
Berco's,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.1,1300
Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,4.1,800
Housefull Cafe Lounge,"Hudson Lane, North Delhi", North Delhi,Delhi,4.2,1800
Taco Bell,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.5,500
Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.4,1200
Off Campus,"Satya Niketan, South Delhi", South Delhi,Delhi,4.2,1000
The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi", East Delhi,Delhi,4.2,2000
Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.1,2200
Xero Degrees,"Satya Niketan, South Delhi", South Delhi,Delhi,4.4,900
The Barbeque Company,"Karkardooma, East Delhi", East Delhi,Delhi,4.3,2100
By The Bay,"Hudson Lane, North Delhi", North Delhi,Delhi,4.1,1800
Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,4.4,2000
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,4.5,2000
Chili's American Grill and Bar,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,4.5,2000
Vikrant Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,3.7,700
Tippling Street,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.3,1800
The Bowton House Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,3.7,800
Bhukkad's Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.7,400
JD Theatre Cafe,"Ashok Vihar Phase - 1, North Delhi", North Delhi,Delhi,4.7,500
Moti Mahal Delux,"South Extension - 2, South Delhi", South Delhi,Delhi,4.4,1500
The Laalten,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.2,1600
Govardhan Vegetarian,"Kamla Nagar, North Delhi", North Delhi,Delhi,3.7,1000
Sambookas,"DDA Market Complex,Hudson Lane, North Delhi", North Delhi,Delhi,4.3,1200
Clay 1 Grill,"Kirti Nagar, West Delhi", West Delhi,Delhi,4.2,2000
Cafe Chill'm,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.1,1800
Imly,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.2,800
The Hogwarts Kafe,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.2,1200
Chimney Sizzlers,"Yashwant Place,Chanakyapuri, South Delhi", South Delhi,Delhi,4.5,800
Sixth Empirica,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.1,1200
Limitless,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.2,2000
TESORO MIO KITCHEN 'N' KAFFE,"Preet Vihar, East Delhi", East Delhi,Delhi,4.1,1600
Tikka Junction,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.0,1500
Blackmail Lounge,"Kamla Nagar, North Delhi", North Delhi,Delhi,4.4,1400
The Flying Saucer,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,4.1,2800
The Crypto Door,"Vijay Nagar, North Delhi", North Delhi,Delhi,4.7,800
3 Friends Pizza,"Pandav Nagar, East Delhi", East Delhi,Delhi,5.0,400
Moets Curry Leaf,"Defence Colony, South Delhi", South Delhi,Delhi,4.1,2000
Le Cirque,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,4.4,5000
Crazy Kitchen Rooftop & Lounge,"Satya Niketan, South Delhi", South Delhi,Delhi,4.3,700
Wow! Momo,"Laxmi Nagar, East Delhi", East Delhi,Delhi,3.5,400
The Qube,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,4.5,5000
Wow! Momo,"Kamla Nagar, North Delhi", North Delhi,Delhi,3.3,400
Cafe Delhi Heights,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.5,2000
The Firangi Island,"Kirti Nagar, West Delhi", West Delhi,Delhi,4.2,1600
Barbeque Nation,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,4.4,1700
Maestro A Restro Cafe,"Deep Cinema Complex,Ashok Vihar Phase - 1, North Delhi", North Delhi,Delhi,4.3,1300
Antidot Waterbar and Cafe,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,4.2,3000
Cafe Another Day,"Janak Place District Centre,Janakpuri, West Delhi", West Delhi,Delhi,4.3,1000
Wood Box Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,4.4,800
Chai Mantra,"Vikas Marg, East Delhi", East Delhi,Delhi,3.7,300
Imperfecto Ruin Pub,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.0,2400
La Piazza,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.5,4500
New Kadimi,"Janakpuri, West Delhi", West Delhi,Delhi,4.1,800
Megu,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,4.3,5000
Cafe Diaries,"Satya Niketan, South Delhi", South Delhi,Delhi,4.6,800
Nukkad Cafe & Bar,"SDA, South Delhi", South Delhi,Delhi,4.2,1500
Daawat Restaurant,"Krishna Nagar, East Delhi", East Delhi,Delhi,4.0,600
Padmanabham,"Greater Kailash - 1, South Delhi", South Delhi,Delhi,4.4,700
RDX Reloaded Restaurant & Bar,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,3.9,1500
Ghoomar Traditional Thali Restaurant,"D Mall,Netaji Subhash Place, North Delhi", North Delhi,Delhi,4.5,1000
Slique,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.0,2500
Cafe Delhi Heights,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,4.5,2000
Shalom - Laidback Cafe,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,4.5,2000
The Chatter House,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,4.2,2000
Underpass,"Defence Colony, South Delhi", South Delhi,Delhi,3.4,1500
Bottle House,"Satya Niketan, South Delhi", South Delhi,Delhi,4.1,1100
Three Tuns Cafe & Bar,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,3.8,2200
