City,Name,Type,Google review rating,Place_ID,Photo_Reference
Hyderabad,Nehru Zoological Park,Zoo,4.2,ChIJY8IDjM-XyzsRMjt5CbX0zT0,AdDdOWr4vp7x98bQRRe5xKgyJNxfRQpMQyIDnhX8MlpuTuMmy32ZmA6SArc952TvbNx9OuGKDz_U4KA0xPP3i1r1F--ejq5f4E8Sw3O66gjHWw15AtBiEsTrRiDntpt5JqpVjHyFiVEL9KPUygV-BpWlVBhyAK93PEsdUqPS-awFNjO8L1hE
Hyderabad,Lumbini Park,Park,4.1,ChIJpeyxLF-XyzsRXBhk5vcfEmU,AdDdOWpDUyOK4khrHpBCYFarpM51CQLWapjNaDnOyh1iWIHTjwFrtAl9WGSy99UDpildLaVd4lmvp5HpQIHrcEp1Q-eYQcUrIeCFPgtJWRafYEArFMZ5TGNha_tftoErYOW_s2M-HRtMycKXmasm27_4pTaxSam50ZriUFmcmzFJwVP12J40
Kolkata,Victoria Memorial,Museum,4.6,ChIJXQGuRhN3AjoRY5fjvORAtQA,AdDdOWoUT-ZZSKEmq_UveEz_NInE4wH5H05i3E1sDmlQzd-Tie_UKxlSVpvOwIQQi5eXEIH8jnTuT4S3RG7J5NY2tDOzY6qziQy3BL4uYMuJUC0JywONsbCBvAVFEDMSTyzgJ0UTJX3ZGJl4iXt6me3ivGjnbE5aKj2zAC2PNBDVmtUt2jaI
Kolkata,Howrah Bridge,Bridge,4.6,ChIJG-seu793AjoRmRFBjKoKhMk,AdDdOWoo12yv9YRo3vfiofOuIa0daT7F8fzKhxiZPXER7IfVVai2mgOmQIm7MecB6nrCGStx9LPIwS69M-tzgOGsLg4eGqTQAk89pSJnTAn7SwIsJ6sfm3dH3MICSbhFssMyXbsgUrkjY_8_nTSW23ffshLzSZ0i-OnyVQ5F6d5co9uiCeCZ
Kolkata,Indian Museum,Museum,4.6,ChIJ33o0YBF3AjoRrAtN-RkG158,AdDdOWqtvS8NTfmtUhjN7L_dzcdQyFDg6CQ5sk3y1CERnrZLtbIDnYy-sihO_vUmuOr8JfXSYV3KSA083BbyBgsxtWL-uJmvia5HhyZjgsxaV_8W2-4KEhPm_dflFafNAxjuKnsOnof3NHgJX3mS8MFVr57aiPHEAkFTIyKHFic1f3MXQERc
Kolkata,Dakshineswar Kali Temple,Temple,4.7,ChIJKXjZ3QOd-DkRTF0w7e-Ao_8,AdDdOWooV_0rjb4huLGVfpLZ2zbizY3kLmNvt3gSt5PrST5KIyBvuSD0TGWvdeceFv1PnjAATNtaeRBVbSx0KCTgGygjhFRWCrnCqRzxJmDSu9HIefBdPubJ1x70GdvwfG6aSviYf6UDhaOXp3AbdoVY0z1DJLjUpPdbeFM5-8UIqTABPnip
Kolkata,Kalighat Kali Temple,Temple,4.4,ChIJ667AQUp3AjoRT91RX1CJkQ0,AdDdOWpyPPrnTzLpov-niK3D9Ea4HMxj2q4NGCPObDEE06gznm-Jb7xyIsKVqafjuElxcSc4oa6o-3FgWV_1ghA6bAPACb0i0w6YWasfEXfsMeLpoR5MapogQ_WsWnyO1P8cCSwF_knJyDUYoI9Ipv7erOKvor-Ss5FWKo5VczpuR7cZ6bRL
Kolkata,Eden Gardens,Cricket Ground,4.1,ChIJr7nl9593AjoReb27vYQYGx0,AdDdOWrGy9KoyW9d4T7-4zr1CBN7UwY9DFcfYN2pUL-c8nVk4ruxHThsygkrjcAGmgyfXzjVmn_0Nz7kihOvA765a_1MFo7M46AiKpJdhftTQjQrlNugT0f-ZheUpefp4RLEwHoLsTOI9L7Covtl70a_VWfBaz2Vcc0tMEpPMaiX9BPsHLie
Kolkata,Alipore Zoological Gardens,Zoo,4.3,ChIJ_f___1B3AjoRaqMT5rupmd8,AdDdOWr8GxVqreA04RdajJnGK-FO0AZYAEc89aV7vu3w2udu_sJ_ubWBma_12G4kGg3dDi-BU84NpS_qCqUhiD0KJyR_la0I8IP2W5NkqyOIieSQtXM3sasH-OKxXRTPq_tTtMcFjOoynC1LRvv-5UjTs0puRMVPfAzl7kpinBHJ6GJ1e4de
Kolkata,Science City Kolkata,Science,4.4,ChIJk2fLCKJ2AjoR6FRD0CK_a2c,AdDdOWpr_D8TfmhcBl3jgVph_96YuggsneslEqRRt4BxJcV1j4j222ZJcc7MEG4jZC160A5ivnSZPDvBkMKXdeedVMcsFOnPPwFqMuehyJ4t-ZQNC4hVhuGXqODiPhbYYJzaFg3fmG51pyvr3UyLUl3ZtO86hVxaEL9YxIJ7dkXNqnhK6QEC
Kolkata,Belur Math,Site,4.7,ChIJ6zG7vHOd-DkRGUI-jZZuNJ4,AdDdOWqILyERmXgLFUX5AZgWdhCWllcYYegZNDeLx4sVuVy9DovmS-hue4X1ApIn1f0aDb2j1l5tSLQvP0fG7g0QjutKRRC5TMqjNgwQXu9LeALNiLPCQlgWlhiH92odnh-S_I13xyCfhqPeAU27441zLmISIOZornc7QPE6DXNFZpl4Yp2y
Kolkata,Marble Palace,Palace,4.4,ChIJz54hfLR3AjoRnVaB8jiPTdg,AdDdOWrorWBTFFdJoziCs8upaGUFSUTG-eK12ahib9ZgYoZzhUfcTVoRcAIf53qZlc3AaTHbQy0BmN9sDuQTEoEybi18jdoxMrUkkEBiP4yvURUMAmylGOY_fSQyErYEEq-PXHxlpEceNQiV4sez5riZqA8w1r39XUSltWbh3vZ13D4oYnA8
Hyderabad,Inorbit Mall Cyberabad,Mall,4.5,ChIJEUdt5i-XyzsRE1OhHGknLX8,AdDdOWooI3URrMj5XjNMZ-Da8LlCZIi0MZowAZ57M5rIBVUwDlhynreTZU0QCQ4EoPY2C9ApBnpmSGcR2Q0dyYJabG-L0nwuMtIn_v-618kFKAMGUI0hNovynHj0gyhatuYBijR2UOdQUrEwkOS0VNUI1u2II8Qmd7bIaeHdO4OOYXNTLUkR
